ID;Nazev;X;Y;Z_m;sourE;sourN;koefX;koefY
1;Hlavní nadrazi;0;0;207;16,6119806;49,1910819;700;1100
2;Nové Sady;-2;-1;206;16,6095964;49,1902581;;
3;Silingrovo nam.;-5;1;225;16,6052819;49,1921425;;
4;Ceska;-5;8;222;16,6050911;49,1981658;;
5;Grohova;-9;11;232;16,5993747;49,201355;;
6;Konecneho nam.;-12;15;245;16,5954589;49,2044831;;
7;Nerudova;-11;17;243;16,5957281;49,2065772;;
8;Klusackova;-13;23;243;16,5926992;49,2123908;;
9;Tererova;-16;27;247;16,5891725;49,2158889;;
10;Dobrovskeho;-17;30;249;16,5873853;49,2183303;;
11;Skacelova;-19;34;253;16,5850753;49,2218781;;
12;Cervinkova;-20;38;266;16,5826989;49,2254486;;
13;Technicke muzeum;-21;41;267;16,5822944;49,2280808;;
14;Technolog. park;-25;44;260;16,57691;49,2314033;;
15;Uzka;2;-1;202;16,6146489;49,1901703;;
16;Autobusove nadr.;4;-5;199;16,6175956;49,1865233;;
17;Zeleznicni;5;-9;198;16,6193369;49,1833228;;
18;Konopna;6;-12;199;16,6211222;49,1802597;;
19;Komarov;7;-16;198;16,6216583;49,1761628;;
20;Certova rokle;8;39;266;16,6232853;49,2264136;;
21;Halasovo nam.;7;36;255;16,6226081;49,2235528;;
22;Fugnerova;5;32;244;16,6193294;49,2198906;;
23;Bieblova;2;27;250;16,6154556;49,2160683;;
24;Lesnicka;4;23;247;16,6175269;49,2124214;;
25;Zemedelska;5;21;243;16,6186942;49,2103578;;
26;Tomanova;6;19;238;16,6201306;49,2081908;;
27;Jugoslavska;8;15;218;16,623375;49,2047919;;
28;Detska nemocnice;5;13;224;16,6190147;49,2030333;;
29;Nam. 28. rijna;1;11;208;16,6137961;49,2009619;;
30;Moravske nam.;-2;9;217;16,6090775;49,1992758;;
31;Nam. Svobody;-3;5;216;16,6080397;49,1958503;;
32;Zelny trh;-1;2;217;16,6100997;49,1928406;;
33;Vlhka;5;1;201;16,6191578;49,1918525;;
34;Masna;9;0;202;16,6243192;49,1912614;;
35;Zivotskeho;15;0;204;16,6338844;49,1906892;;
36;Geislerova;16;2;205;16,6347047;49,1927872;;
37;Buzkova;21;3;208;16,6415042;49,19421;;
38;Otakara Sevcika;23;5;211;16,6454431;49,1952858;;
39;Delnicky dum;26;5;218;16,6495533;49,1955681;;
40;Julianov;30;6;232;16,6543922;49,196125;;
